67,Пасiчко,Вiталiна,Ярославiвна,"м. Охтирка, вул. Кiльцева, 42",+380957623136
68,Корiатович,Ольга,Сергiївна,"м. Ямпiль, вул. Вокзальна, 24",+380663090505
69,Андрiєчко,Максим,Бронiславович,"м. Христинiвка, вул. Добровольчих батальйонiв, 27",+380958341415
70,Петрiсько,Сергiй,Ярославович,"м. Первомайськ, вул. Бальзакiвська, 188",+380679110086
71,Пиячко,Оксана,Матвiївна,"м. Керч, вул. Богуна, 7",+380955522383
72,Сухоручко,Павло,Мирославович,"м. Алмазна, вул. Зарiчна, 90",+380664795629
73,Чуревич,Ганна,Костянтинiвна,"м. Балаклiя, вул. Героїв Крут, 47",+380637609699
74,Минючко,Соломiя,Мирославiвна,"м. Приморськ, вул. Кам'янська, 167",+380664492447
75,Пасiчко,Тетяна,Артемiвна,"м. Городок, вул. Домбровського, 42",+380636106099
76,Гадючко,Нiна,Iванiвна,"м. Подiльськ, вул. Безименського, 51",+380631216493
77,Коцюбович,Максим,Павлович,"м. Сєвєродонецьк, вул. Андрiївська, 102",+380935476247
78,Коцюбович,Ольга,Муратiвна,"м. Вознесенськ, вул. Денишiвська, 78",+380637596744
79,Ковалисько,Марiя,Дмитрiвна,"м. Миронiвка, вул. Гончарна, 25",+380686570711
80,Музичко,Вiктор,Костянтинович,"м. Знам'янка, вул. Винниченка, 176",+380955472041
81,Пасiчнюк,Бронiслав,Павлович,"м. Горiшнi Плавнi, вул. Академiка Дашкевича, 49",+380672639066
82,Мрiчко,Варвара,Вiталiївна,"м. Збараж, вул. Зарiчна, 194",+380672958038
83,Пасiчнюк,Вiктор,Романович,"м. П'ятихатки, вул. Бальзакiвська, 90",+380955780612
84,Савiсько,Мiла,Артемiвна,"м. Сквира, вул. Бiлоруська, 196",+380933074093
85,Леочко,Iгор,Миколайович,"м. Кременчук, вул. Євгена Коновальця, 73",+380637819638
86,Андрiєнюк,Мiла,Валерiївна,"м. Острог, вул. Костьольна, 183",+380958159752
87,Онисько,Мирослав,Романович,"м. Нетiшин, вул. Зв'язкiвцiв, 179",+380630883032
88,Андрухович,Анна,Андрiївна,"м. Нововолинськ, вул. Бялика, 66",+380939614662
89,Андрiєвич,Денис,Тарасович,"м. Малин, вул. Захiдна, 203",+380950239150
90,Савiсько,Андрiй,Тарасович,"м. Вараш, вул. Захiдна, 153",+380679864872
91,Дядечко,Ганна,Володимирiвна,"м. Лиман, вул. Коцюбинського, 152",+380935263400
92,Саєвич,Iрина,Дмитрiвна,"м. Старий Крим, вул. Гоголiвська, 19",+380957360822
93,Науменюк,Бронiслава,Олексiївна,"м. Христинiвка, вул. Гоголiвська, 136",+380633488356
94,Леочко,Назар,Денисович,"м. Вiльнянськ, вул. Героїв Пожежних, 154",+380959811369
95,Ковалисько,Iрина,Любомирiвна,"м. Бердянськ, вул. Кам'янська, 101",+380502424460
96,Науменюк,Олена,Вартанiвна,"м. Вiльногiрськ, вул. Коцюбинського, 165",+380670416454
97,Вознюк,Олександр,Ярославович,"м. Святогiрськ, вул. Професора Кравченка, 101",+380682317456
98,Очеретнюк,Вiталiй,Ярославович,"м. Львiв, вул. Кибальчича, 59",+380682647341
99,Ковбаснюк,Святослав,Бронiславович,"м. Нетiшин, вул. Зв'язкiвцiв, 137",+380956439633
100,Андрiєвич,Олександр,Святославович,"м. Гайсин, вул. Гоголiвська, 36",+380938004425
101,Очеретнюк,Ксенiя,Любомирiвна,"м. Угнiв, вул. Гоголiвська, 175",+380677936838
102,Петрiсько,Вiкторiя,Денисiвна,"м. Сiмферополь, вул. Козацька, 10",+380680330307
103,Анкудович,Мирослав,Андрiйович,"м. Лисичанськ, вул. Гаражна, 124",+380503354281
104,Ковбаснюк,Любов,Олексiївна,"м. Ходорiв, вул. Iвана Бiлика, 213",+380957023540
105,Пасiчнюк,Матвiй,Костянтинович,"м. Iршава, вул. Кам'янська, 191",+380667494436
106,Бичко,Юрiй,Григорiйович,"м. Соледар, вул. Космонавтiв, 65",+380934407432
107,Маячко,Мирослава,Артемiвна,"м. Борислав, вул. Купальна, 166",+380677259681
108,Огiєвич,Мiла,Олексiївна,"м. Ковель, вул. Зелена, 157",+380933856481
109,Величко,Веронiка,Павлiвна,"м. Сiверськ, вул. Визволення, 31",+380678222430
110,Корiатович,Надiя,Михайлiвна,"м. Надвiрна, вул. Калинова, 63",+380503234791
111,Смицнюк,Юлiя,Вiкторiвна,"м. Свiтлодарськ, вул. Вересiвський Шлях, 120",+380662488525
112,Бережнюк,Ганна,Валерiївна,"м. Ворожба, вул. Декабристiв, 15",+380671729170
113,Тельнюк,Мурат,Костянтинович,"м. Перечин, вул. Декабристiв, 89",+380673524080
114,Загаєвич,Аделiна,Данилiвна,"м. Мукачево, вул. Гончарна, 149",+380955866495
115,Чуревич,Тетяна,Павлiвна,"м. Комарно, вул. Петра Калнишевського, 106",+380952800535
116,Маячко,Степан,Вiталiйович,"м. Iршава, вул. Кармелюка, 192",+380687841151
117,Пиячко,Юрiй,Вартанович,"м. Ржищiв, вул. Денишiвська, 134",+380672686291
118,Вознюк,Анна-Марiя,Маркiвна,"м. Тисмениця, вул. Будинки Офiцерського Складу, 107",+380679267301
119,Михалечко,Наталiя,Максимiвна,"м. Новояворiвськ, вул. Святого Йоана Павла II, 120",+380959015572
120,Пасiчнюк,Олександра,Iгорiвна,"м. Бобровиця, вул. Барашiвська, 117",+380954346856
121,Павлисько,Марта,Вiкторiвна,"м. Мелiтополь, вул. Барашiвська, 79",+380663017805
122,Маркевич,Матвiй,Святославович,"м. Севастополь, вул. Кривий Брiд, 127",+380931277415
123,Анкудович,Вiра,Назарiвна,"м. Бахмач, вул. Домбровського, 206",+380689477193
124,Гнатисько,Людмила,Матвiївна,"м. Добромиль, вул. Степана Бандери, 174",+380501850280
125,Андрiєвич,Соломiя,Володимирiвна,"м. Нова Каховка, вул. Брасюка, 32",+380684580637
126,Лисько,Ольга,Валерiївна,"м. Рава-Руська, вул. Професора Арциховського, 102",+380504905298
127,Максименюк,Анатолiй,Вiкторович,"м. Комарно, вул. Короленка, 125",+380681989245
128,Юречко,Олена,Мирославiвна,"м. Рахiв, вул. Петра Калнишевського, 155",+380676402723
129,Музичко,Анна,Григорiївна,"м. Калуш, вул. Героїв Крут, 138",+380959112905
130,Гнатисько,Варвара,Володимирiвна,"м. Андрушiвка, вул. Короленка, 84",+380678347319
131,Дядечко,Христина,Iгорiвна,"м. Долинська, вул. Христофора Барановського, 175",+380953871132
132,Скачко,Вiкторiя,Ярославiвна,"м. Змiїв, вул. Згоди, 3",+380686478120
133,Мрiчко,Тарас,Дмитрович,"м. Шостка, вул. Визволення, 45",+380506546307
134,Меєчко,Владислав,Святославович,"м. Чуднiв, вул. Корольова, 178",+380660201737
135,Ковбаснюк,Юлiя,Григорiївна,"м. Змiїв, вул. Гайдамацька, 43",+380686189686
136,Ковбаснюк,Любомир,Iванович,"м. Херсон, вул. Закам'янська, 49",+380957719811
137,Голоднюк,Лiдiя,Владиславiвна,"м. Кiцмань, вул. Кооперативна, 47",+380679261173
138,Пасiчко,Матвiй,Степанович,"м. Ренi, вул. Святого Йоана Павла II, 156",+380660349404
139,Завальнюк,Юлiя,Олександрiвна,"м. Новий Роздiл, вул. Академiка Векслера, 119",+380952541681
140,Мисько,Марта,Тарасiвна,"м. Глиняни, вул. Корабельна, 116",+380683131675
141,Шухевич,Мiла,Муратiвна,"м. Чернiвцi, вул. Леха Качинського, 16",+380665104765
142,Андрухович,Леся,Дмитрiвна,"м. Герца, вул. Мала Бердичiвська, 56",+380679603097
143,Вуїчко,Вiталiй,Григорiйович,"м. Прилуки, вул. Євгена Коновальця, 28",+380507783424
144,Ковалисько,Олексiй,Iгорович,"м. Первомайськ, вул. Зелена, 137",+380956065464
145,Андрiєнюк,Меланiя,Артемiвна,"м. Приморськ, вул. Бальзакiвська, 101",+380955002325
146,Чуревич,Денис,Любомирович,"м. Жданiвка, вул. Бальзакiвська, 80",+380688228477
147,Юречко,Валентина,Олегiвна,"м. Первомайський, вул. Житнiй Базар, 41",+380631898053
148,Боїчко,Григорiй,Олексiйович,"м. Христинiвка, вул. Богунська, 152",+380675148723
149,Мосiєчко,Володимир,Тарасович,"м. Балаклiя, вул. Вiтрука, 37",+380502676445
150,Ямнюк,Артем,Маркович,"м. Вiльногiрськ, вул. Зарiчна, 41",+380635689909
151,Заїчко,Юрiй,Юрiйович,"м. Бiляївка, вул. Професора Антоновича, 199",+380687837928
